Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०९-०४,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०४,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२६-०९-०४,गोलभेडा सानो(लोकल),के.जी.,३०.००,२५.००,२७.००
२०२६-०९-०४,गोलभेडा सानो(टनेल),के जी,४५.००,३३.००,३९.०८
२०२६-०९-०४,आलु रातो(लाम्चो),के.जी.,५१.००,४८.००,४९.८३
२०२६-०९-०४,रातो आलु(गोलो),के जी,५३.००,४८.००,५०.८३
२०२६-०९-०४,आलु रातो(मुडे),केजी,५३.००,४८.००,५१.१७
२०२६-०९-०४,आलु रातो(भारतीय),के जी,४५.००,४०.००,४२.५०
२०२६-०९-०४,आलु सेतो,के.जी.,४०.००,३५.००,३७.५०
२०२६-०९-०४,प्याज सुकेको (भारतीय),के.जी.,९८.००,९३.००,९५.८३
२०२६-०९-०४,गाजर(लोकल),के.जी.,१००.००,८०.००,८७.५०
२०२६-०९-०४,गाजर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०९-०४,बन्दा(लोकल),के.जी.,३५.००,२५.००,२९.१७
२०२६-०९-०४,काउली स्थानिय,के.जी.,१००.००,९०.००,९५.००
२०२६-०९-०४,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२६-०९-०४,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२६-०९-०४,भन्टा लाम्चो,के.जी.,३०.००,१५.००,२२.००
२०२६-०९-०४,भन्टा डल्लो,के.जी.,४०.००,३०.००,३५.००
२०२६-०९-०४,बोडी(तने),के.जी.,६०.००,५०.००,५६.००
२०२६-०९-०४,मकै बोडी,केजी,९०.००,८०.००,८५.००
२०२६-०९-०४,घिउ सिमी(लोकल),के.जी.,९०.००,८०.००,८५.००
२०२६-०९-०४,घिउ सिमी(हाइब्रीड),केजी,९०.००,८०.००,८५.००
२०२६-०९-०४,टाटे सिमी,के.जी.,६०.००,५०.००,५५.००
२०२६-०९-०४,भटमासकोशा,के.जी.,१४०.००,१२०.००,१३०.००
२०२६-०९-०४,तितो करेला,के.जी.,४०.००,३०.००,३५.००
२०२६-०९-०४,लौका,के.जी.,५०.००,४०.००,४५.००
२०२६-०९-०४,परवर(लोकल),के.जी.,८०.००,७०.००,७३.३३
२०२६-०९-०४,परवर(तराई),केजी,८०.००,७०.००,७३.३३
२०२६-०९-०४,चिचिण्डो,के.जी.,३०.००,१०.००,२०.००
२०२६-०९-०४,घिरौला,के.जी.,२५.००,१०.००,१७.५०
२०२६-०९-०४,झिगूनी,के.जी.,६०.००,५०.००,५५.००
२०२६-०९-०४,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०९-०४,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२६-०९-०४,भिण्डी,के.जी.,५०.००,४०.००,४२.५०
२०२६-०९-०४,सखरखण्ड,के.जी.,१२०.००,१००.००,११०.००
२०२६-०९-०४,पिंडालू,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०४,स्कूस,के.जी.,३०.००,२०.००,२३.३३
२०२६-०९-०४,रायो साग,के.जी.,६०.००,४०.००,५०.००
२०२६-०९-०४,पालूगो साग,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-०४,तोरीको साग,के.जी.,१००.००,८०.००,९०.००
२०२६-०९-०४,प्याज हरियो,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-०४,च्याउ(कन्य),के.जी.,२५०.००,२००.००,२२३.३३
२०२६-०९-०४,च्याउ(डल्ले),के जी,६००.००,५५०.००,५७५.००
२०२६-०९-०४,राजा च्याउ,के.जी.,३३०.००,३००.००,३१०.००
२०२६-०९-०४,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०९-०४,कुरीलो,के.जी.,५००.००,४००.००,४५०.००
२०२६-०९-०४,न्यूरो,के.जी.,१००.००,९०.००,९५.००
२०२६-०९-०४,ब्रोकाउली,के.जी.,१४०.००,१२०.००,१३०.००
२०२६-०९-०४,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०४,सजिवन,के.जी.,२५०.००,२००.००,२२५.००
२०२६-०९-०४,रातो बन्दा,के.जी.,६०.००,५०.००,५५.००
२०२६-०९-०४,जिरीको साग,के.जी.,३००.००,२००.००,२५०.००
२०२६-०९-०४,सेलरी,के.जी.,५००.००,४००.००,४५०.००
२०२६-०९-०४,पार्सले,के.जी.,१८००.००,१६००.००,१७००.००
२०२६-०९-०४,सौफको साग,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-०४,पुदीना,के.जी.,७००.००,६००.००,६५०.००
२०२६-०९-०४,गान्टे मूला,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-०४,इमली,के.जी.,१८०.००,१६०.००,१७०.००
२०२६-०९-०४,तामा,के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०९-०४,तोफु,के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०९-०४,गुन्दुक,के.जी.,३५०.००,३००.००,३२५.००
२०२६-०९-०४,रुख टमाटर,केजी,२५०.००,२००.००,२२५.००
२०२६-०९-०४,स्याउ(फूजी),के जी,४००.००,३५०.००,३७५.००
२०२६-०९-०४,स्याउ(मुस्ताङ्ग),के.जी.,१६०.००,१३५.००,१४७.५०
२०२६-०९-०४,केरा(नेपाली),दर्जन,३००.००,२५०.००,२७५.००
२०२६-०९-०४,केरा(मालभोग),दर्जन,२००.००,१८०.००,१९०.००
२०२६-०९-०४,कागती,के.जी.,४००.००,३५०.००,३७५.००
२०२६-०९-०४,अनार,के.जी.,३००.००,२५०.००,२७५.००
२०२६-०९-०४,तरबुजा(हरियो),के.जी.,६०.००,५०.००,५५.००
२०२६-०९-०४,जुनार,के.जी.,२००.००,१५०.००,१७५.००
२०२६-०९-०४,भुई कटहर,प्रति गोटा,२००.००,१८०.००,१९०.००
२०२६-०९-०४,काक्रो(लोकल),के.जी.,५०.००,३०.००,३८.३३
२०२६-०९-०४,काक्रो(हाइब्रीड),के जी,२०.००,१०.००,१४.१७
२०२६-०९-०४,काक्रो(लोकलक्रस),के.जी.,५०.००,३०.००,३६.६७
२०२६-०९-०४,रुख कटहर,के.जी.,५०.००,४०.००,४५.००
२०२६-०९-०४,नासपाती(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२६-०९-०४,नासपाती(चाइनिज),केजी,२५०.००,२००.००,२२५.००
२०२६-०९-०४,मेवा(नेपाली),के.जी.,८०.००,७०.००,७५.००
२०२६-०९-०४,मेवा(भारतीय),केजी,१००.००,९०.००,९५.००
२०२६-०९-०४,किवि,केजी,४००.००,३५०.००,३७५.००
२०२६-०९-०४,शरीफा,के‍.जी,३००.००,२५०.००,२७५.००
२०२६-०९-०४,आभोकाडो,के.जी,२५०.००,२००.००,२२५.००
२०२६-०९-०४,अमला,के.जी,२००.००,१५०.००,१७५.००
२०२६-०९-०४,नरिवल(काँचो),के जी,८०.००,६०.००,७०.००
२०२६-०९-०४,नरिवल(हरियो),के जी,१७०.००,१५०.००,१६०.००
२०२६-०९-०४,ड्रागन फ्रुट(नेपाली),के.जी.,५००.००,४००.००,४५०.००
२०२६-०९-०४,अदुवा,के.जी.,२२०.००,२००.००,२०६.६७
२०२६-०९-०४,खु्र्सानी सुकेको,के.जी.,५५०.००,५००.००,५२५.००
२०२६-०९-०४,खुर्सानी हरियो(लाम्चो),के जी,७०.००,६०.००,६५.००
२०२६-०९-०४,खुर्सानी हरियो(बुलेट),के जी,७०.००,६०.००,६५.००
