Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०९-०६,गोलभेडा ठूलो(नेपाली),के.जी.,८०.००,७०.००,७५.००
२०२६-०९-०६,गोलभेडा ठूलो(भारतीय),केजी,८०.००,७०.००,७५.००
२०२६-०९-०६,गोलभेडा सानो(लोकल),के.जी.,३८.००,२८.००,३२.७५
२०२६-०९-०६,गोलभेडा सानो(टनेल),के जी,५७.००,४२.००,५१.१०
२०२६-०९-०६,आलु रातो(लाम्चो),के.जी.,५४.००,५०.००,५२.३३
२०२६-०९-०६,रातो आलु(गोलो),के जी,५३.००,४८.००,५१.१७
२०२६-०९-०६,आलु रातो(मुडे),केजी,५३.००,४८.००,५१.१७
२०२६-०९-०६,आलु रातो(भारतीय),के जी,४५.००,४०.००,४२.५०
२०२६-०९-०६,आलु सेतो,के.जी.,४०.००,३५.००,३७.५०
२०२६-०९-०६,प्याज सुकेको (भारतीय),के.जी.,९८.००,९३.००,९६.१७
२०२६-०९-०६,गाजर(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२६-०९-०६,गाजर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०९-०६,बन्दा(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२६-०९-०६,काउली स्थानिय,के.जी.,१००.००,९०.००,९५.००
२०२६-०९-०६,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२६-०९-०६,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२६-०९-०६,भन्टा लाम्चो,के.जी.,२५.००,१५.००,२०.००
२०२६-०९-०६,भन्टा डल्लो,के.जी.,४०.००,३०.००,३५.००
२०२६-०९-०६,बोडी(तने),के.जी.,६०.००,५०.००,५५.००
२०२६-०९-०६,मकै बोडी,केजी,१२०.००,१००.००,११०.००
२०२६-०९-०६,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२६-०९-०६,घिउ सिमी(हाइब्रीड),केजी,१००.००,९०.००,९५.००
२०२६-०९-०६,टाटे सिमी,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०६,भटमासकोशा,के.जी.,१४०.००,१२०.००,१३०.००
२०२६-०९-०६,तितो करेला,के.जी.,५०.००,४०.००,४४.२९
२०२६-०९-०६,लौका,के.जी.,५०.००,४०.००,४५.००
२०२६-०९-०६,परवर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२६-०९-०६,परवर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०९-०६,चिचिण्डो,के.जी.,३०.००,२०.००,२५.००
२०२६-०९-०६,घिरौला,के.जी.,२५.००,१५.००,२०.००
२०२६-०९-०६,झिगूनी,के.जी.,६०.००,५०.००,५५.००
२०२६-०९-०६,फर्सी पाकेको,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०६,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२६-०९-०६,भिण्डी,के.जी.,५०.००,४०.००,४५.००
२०२६-०९-०६,सखरखण्ड,के.जी.,१२०.००,१००.००,११०.००
२०२६-०९-०६,पिंडालू,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०६,स्कूस,के.जी.,२५.००,१५.००,१९.१७
२०२६-०९-०६,रायो साग,के.जी.,८०.००,४०.००,६०.००
२०२६-०९-०६,पालूगो साग,के.जी.,२००.००,१५०.००,१७५.००
२०२६-०९-०६,तोरीको साग,के.जी.,१००.००,८०.००,९०.००
२०२६-०९-०६,प्याज हरियो,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-०६,च्याउ(कन्य),के.जी.,२५०.००,२००.००,२२५.००
२०२६-०९-०६,च्याउ(डल्ले),के जी,५००.००,४५०.००,४७५.००
