Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०९-०८,गोलभेडा ठूलो(नेपाली),के.जी.,९०.००,८०.००,८५.००
२०२६-०९-०८,गोलभेडा ठूलो(भारतीय),केजी,९०.००,८०.००,८५.००
२०२६-०९-०८,गोलभेडा सानो(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२६-०९-०८,गोलभेडा सानो(टनेल),के जी,७०.००,५५.००,६३.९३
२०२६-०९-०८,आलु रातो(लाम्चो),के.जी.,५४.००,५२.००,५३.००
२०२६-०९-०८,रातो आलु(गोलो),के जी,५३.००,४८.००,५०.३३
२०२६-०९-०८,आलु रातो(मुडे),केजी,५३.००,४८.००,५१.१७
२०२६-०९-०८,आलु रातो(भारतीय),के जी,४५.००,४०.००,४२.५०
२०२६-०९-०८,आलु सेतो,के.जी.,४०.००,३५.००,३७.५०
२०२६-०९-०८,प्याज सुकेको (भारतीय),के.जी.,९८.००,९३.००,९५.५०
२०२६-०९-०८,गाजर(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२६-०९-०८,गाजर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०९-०८,बन्दा(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२६-०९-०८,काउली स्थानिय,के.जी.,१००.००,८०.००,९०.००
२०२६-०९-०८,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२६-०९-०८,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२६-०९-०८,भन्टा लाम्चो,के.जी.,२५.००,१५.००,२०.००
२०२६-०९-०८,भन्टा डल्लो,के.जी.,४०.००,३०.००,३५.००
२०२६-०९-०८,बोडी(तने),के.जी.,८०.००,६०.००,७१.६७
२०२६-०९-०८,मकै बोडी,केजी,१२०.००,१००.००,११०.००
२०२६-०९-०८,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२६-०९-०८,घिउ सिमी(हाइब्रीड),केजी,१००.००,९०.००,९५.००
२०२६-०९-०८,टाटे सिमी,के.जी.,८०.००,७०.००,७५.००
२०२६-०९-०८,भटमासकोशा,के.जी.,१४०.००,१२०.००,१३०.००
२०२६-०९-०८,तितो करेला,के.जी.,५०.००,४०.००,४५.००
२०२६-०९-०८,लौका,के.जी.,५०.००,४०.००,४५.००
२०२६-०९-०८,परवर(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०८,परवर(तराई),केजी,७०.००,६०.००,६५.००
२०२६-०९-०८,चिचिण्डो,के.जी.,२५.००,१५.००,१८.७५
२०२६-०९-०८,घिरौला,के.जी.,३०.००,२०.००,२५.००
२०२६-०९-०८,झिगूनी,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०८,फर्सी पाकेको,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०८,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२६-०९-०८,भिण्डी,के.जी.,५०.००,४०.००,४५.००
२०२६-०९-०८,सखरखण्ड,के.जी.,१२०.००,१००.००,११०.००
२०२६-०९-०८,पिंडालू,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-०८,स्कूस,के.जी.,२५.००,१५.००,२०.००
२०२६-०९-०८,रायो साग,के.जी.,८०.००,५०.००,६५.००
२०२६-०९-०८,पालूगो साग,के.जी.,२००.००,१५०.००,१७५.००
२०२६-०९-०८,तोरीको साग,के.जी.,१००.००,८०.००,९०.००
