Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०९-१०,गोलभेडा ठूलो(नेपाली),के.जी.,९०.००,८०.००,८५.००
२०२६-०९-१०,गोलभेडा ठूलो(भारतीय),केजी,९०.००,८०.००,८५.००
२०२६-०९-१०,गोलभेडा सानो(लोकल),के.जी.,४५.००,३५.००,४०.६३
२०२६-०९-१०,गोलभेडा सानो(टनेल),के जी,६५.००,५२.००,५८.७५
२०२६-०९-१०,आलु रातो(लाम्चो),के.जी.,५४.००,५०.००,५२.३३
२०२६-०९-१०,रातो आलु(गोलो),के जी,५३.००,४८.००,५०.३३
२०२६-०९-१०,आलु रातो(मुडे),केजी,५३.००,४८.००,५०.६७
२०२६-०९-१०,आलु रातो(भारतीय),के जी,४५.००,४०.००,४२.५०
२०२६-०९-१०,आलु सेतो,के.जी.,४०.००,३५.००,३७.५०
२०२६-०९-१०,प्याज सुकेको (भारतीय),के.जी.,९७.००,९३.००,९४.६७
२०२६-०९-१०,गाजर(लोकल),के.जी.,१२०.००,७०.००,१०३.००
२०२६-०९-१०,गाजर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०९-१०,बन्दा(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२६-०९-१०,काउली स्थानिय,के.जी.,१००.००,९०.००,९५.००
२०२६-०९-१०,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२६-०९-१०,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,२९.१७
२०२६-०९-१०,भन्टा लाम्चो,के.जी.,२५.००,१०.००,१७.५०
२०२६-०९-१०,भन्टा डल्लो,के.जी.,४०.००,३०.००,३५.००
२०२६-०९-१०,बोडी(तने),के.जी.,८०.००,७०.००,७५.००
२०२६-०९-१०,मकै बोडी,केजी,१२०.००,१००.००,११०.००
२०२६-०९-१०,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२६-०९-१०,घिउ सिमी(हाइब्रीड),केजी,१००.००,९०.००,९५.००
२०२६-०९-१०,टाटे सिमी,के.जी.,८०.००,७०.००,७५.००
२०२६-०९-१०,भटमासकोशा,के.जी.,१००.००,९०.००,९५.००
२०२६-०९-१०,तितो करेला,के.जी.,६०.००,४०.००,४८.३३
२०२६-०९-१०,लौका,के.जी.,६०.००,४०.००,४८.३३
२०२६-०९-१०,परवर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२६-०९-१०,परवर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०९-१०,चिचिण्डो,के.जी.,२५.००,१५.००,१८.७५
२०२६-०९-१०,घिरौला,के.जी.,४०.००,३०.००,३५.००
२०२६-०९-१०,झिगूनी,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-१०,फर्सी पाकेको,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-१०,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२६-०९-१०,भिण्डी,के.जी.,६०.००,४०.००,४८.३३
२०२६-०९-१०,पिंडालू,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-१०,स्कूस,के.जी.,२५.००,१५.००,१८.७५
२०२६-०९-१०,रायो साग,के.जी.,८०.००,५०.००,६५.००
२०२६-०९-१०,पालूगो साग,के.जी.,२००.००,१५०.००,१७५.००
२०२६-०९-१०,तोरीको साग,के.जी.,१००.००,८०.००,९०.००
२०२६-०९-१०,प्याज हरियो,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-१०,च्याउ(कन्य),के.जी.,२३०.००,१८०.००,२०३.३३
२०२६-०९-१०,च्याउ(डल्ले),के जी,५००.००,४५०.००,४७५.००
२०२६-०९-१०,राजा च्याउ,के.जी.,३३०.००,३००.००,३११.६७
२०२६-०९-१०,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०९-१०,कुरीलो,के.जी.,५००.००,४००.००,४५०.००
२०२६-०९-१०,न्यूरो,के.जी.,१००.००,९०.००,९५.००
२०२६-०९-१०,ब्रोकाउली,के.जी.,१८०.००,१५०.००,१६५.००
२०२६-०९-१०,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
२०२६-०९-१०,सजिवन,के.जी.,२५०.००,२००.००,२२५.००
२०२६-०९-१०,रातो बन्दा,के.जी.,६०.००,५०.००,५५.००
२०२६-०९-१०,जिरीको साग,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-१०,सेलरी,के.जी.,५००.००,४००.००,४५०.००
२०२६-०९-१०,पार्सले,के.जी.,१८००.००,१६००.००,१७००.००
२०२६-०९-१०,सौफको साग,के.जी.,१५०.००,१००.००,११६.६७
२०२६-०९-१०,पुदीना,के.जी.,७००.००,६००.००,६५०.००
२०२६-०९-१०,गान्टे मूला,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-१०,इमली,के.जी.,२००.००,१८०.००,१९०.००
२०२६-०९-१०,तामा,के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०९-१०,तोफु,के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०९-१०,गुन्दुक,के.जी.,३५०.००,३००.००,३२५.००
२०२६-०९-१०,रुख टमाटर,केजी,१५०.००,१००.००,१२५.००
२०२६-०९-१०,स्याउ(फूजी),के जी,४००.००,३५०.००,३७५.००
२०२६-०९-१०,स्याउ(जुम्ला),के.जी.,४००.००,३६५.००,३८२.५०
२०२६-०९-१०,स्याउ(मुस्ताङ्ग),के.जी.,१६५.००,१३५.००,१५०.००
२०२६-०९-१०,केरा(नेपाली),दर्जन,२००.००,१५०.००,१७५.००
२०२६-०९-१०,केरा(मालभोग),दर्जन,१५०.००,१००.००,१२५.००
२०२६-०९-१०,कागती,के.जी.,४००.००,३५०.००,३७५.००
२०२६-०९-१०,अनार,के.जी.,३००.००,२५०.००,२७५.००
२०२६-०९-१०,तरबुजा(हरियो),के.जी.,६०.००,५०.००,५५.००
२०२६-०९-१०,मौसम,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०९-१०,जुनार,के.जी.,२००.००,१५०.००,१८२.५०
२०२६-०९-१०,भुई कटहर,प्रति गोटा,२००.००,१८०.००,१९०.००
२०२६-०९-१०,काक्रो(लोकल),के.जी.,६०.००,४०.००,५०.००
२०२६-०९-१०,काक्रो(हाइब्रीड),के जी,६०.००,२०.००,३१.२५
२०२६-०९-१०,काक्रो(लोकलक्रस),के.जी.,६०.००,४०.००,५१.६७
२०२६-०९-१०,रुख कटहर,के.जी.,५०.००,४०.००,४५.००
२०२६-०९-१०,नासपाती(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२६-०९-१०,नासपाती(चाइनिज),केजी,२५०.००,२००.००,२२५.००
२०२६-०९-१०,मेवा(नेपाली),के.जी.,८०.००,७०.००,७५.००
२०२६-०९-१०,मेवा(भारतीय),केजी,१२०.००,१००.००,११०.००
२०२६-०९-१०,अम्बा,के.जी.,२००.००,१५०.००,१७५.००
२०२६-०९-१०,लप्सी,के.जी.,६०.००,५०.००,५५.००
२०२६-०९-१०,किवि,केजी,४००.००,३५०.००,३७५.००
२०२६-०९-१०,शरीफा,के‍.जी,२५०.००,२००.००,२२५.००
२०२६-०९-१०,आभोकाडो,के.जी,३००.००,२५०.००,२७५.००
२०२६-०९-१०,अमला,के.जी,२००.००,१५०.००,१७५.००
